Model,OR Similarity Score,AND Similarity Score,NOT XOR Similarity Score,NOT AND Similarity Score,Prompt,New Prompt
gpt3,0.73968095,0.4148078,0.47164303,0.22379613,Impact of AI on future jobs?,Impact of AI on future jobs?
gpt3,0.74593043,0.41097942,0.2850759,0.18988103,Impact of AI on future jobs?,Impact of AI on future jobs?
gpt3,0.7723227,0.40359193,0.3776538,0.31090903,Impact of AI on future jobs?,Impact of AI on future jobs?
gpt2,0.70771646,0.46282125,0.4645211,0.330011,Impact of AI on future jobs?,Impact of AI on future jobs?
gpt2,0.70771646,0.4415052,0.47822693,0.35044163,Impact of AI on future jobs?,Impact of AI on future jobs?
gpt2,0.70771646,0.46686435,0.32136565,0.35403895,Impact of AI on future jobs?,Impact of AI on future jobs?
mistral,0.85117364,0.47450757,0.35814336,0.37698805,Impact of AI on future jobs?,Impact of AI on future jobs?
mistral,0.85117364,0.47225606,0.27360475,0.3328085,Impact of AI on future jobs?,Impact of AI on future jobs?
mistral,0.85117364,0.456144,0.36275178,0.41993695,Impact of AI on future jobs?,Impact of AI on future jobs?
cerebras,0.659232,0.42035225,0.4761771,0.28274268,Impact of AI on future jobs?,Impact of AI on future jobs?
cerebras,0.64791703,0.44560343,0.61102366,0.322702,Impact of AI on future jobs?,Impact of AI on future jobs?
cerebras,0.6898469,0.44985947,0.44518542,0.34567377,Impact of AI on future jobs?,Impact of AI on future jobs?
gpt3,0.8559804,0.37104988,0.35171527,0.33544764,Renewable Energy benefits?,Renewable Energy benefits?
gpt3,0.7725534,0.41500637,0.118368834,0.2340347,Renewable Energy benefits?,Renewable Energy benefits?
gpt3,0.77317846,0.38321102,0.23173282,0.1252907,Renewable Energy benefits?,Renewable Energy benefits?
gpt3,0.85181665,0.36672893,0.30980194,0.15088563,Renewable Energy benefits?,Renewable Energy benefits?
gpt2,0.69454175,0.4285429,0.4399916,0.1397577,Renewable Energy benefits?,Renewable Energy benefits?
gpt2,0.6756526,0.38262653,0.52907324,0.14362484,Renewable Energy benefits?,Renewable Energy benefits?
gpt2,0.6811094,0.40633446,0.4851318,0.17223673,Renewable Energy benefits?,Renewable Energy benefits?
mistral,0.88887894,0.5754835,0.39874303,0.34842092,Renewable Energy benefits?,Renewable Energy benefits?
mistral,0.8725449,0.5821092,0.3020209,0.2953027,Renewable Energy benefits?,Renewable Energy benefits?
mistral,0.87551796,0.5718046,0.30753797,0.3156711,Renewable Energy benefits?,Renewable Energy benefits?
mistral,0.88327765,0.6025423,0.419202,0.26338705,Renewable Energy benefits?,Renewable Energy benefits?
cerebras,0.5807164,0.36766273,0.41134125,0.16266981,Renewable Energy benefits?,Renewable Energy benefits?
cerebras,0.60019255,0.4409262,0.52921486,0.17616358,Renewable Energy benefits?,Renewable Energy benefits?
cerebras,0.52886015,0.36787832,0.42455345,0.15827206,Renewable Energy benefits?,Renewable Energy benefits?
gpt3,0.82159454,0.5123023,0.34762263,0.26183754,Can robot replace artists?,Can robot replace artists?
gpt3,0.6530056,0.4290848,0.3588634,0.14695355,Can robot replace artists?,Can robot replace artists?
gpt3,0.6328517,0.44945884,0.46933112,0.13139535,Can robot replace artists?,Can robot replace artists?
gpt2,0.68385637,0.46408942,0.4238233,0.3477875,Can robot replace artists?,Can robot replace artists?
gpt2,0.74579513,0.4819312,0.18890959,0.34436172,Can robot replace artists?,Can robot replace artists?
gpt2,0.7091611,0.5073607,0.32623297,0.3742436,Can robot replace artists?,Can robot replace artists?
mistral,0.91195804,0.50164425,0.3574642,0.21425086,Can robot replace artists?,Can robot replace artists?
mistral,0.91195804,0.49037963,0.27837625,0.17644385,Can robot replace artists?,Can robot replace artists?
mistral,0.91195804,0.50193,0.31562537,0.32093102,Can robot replace artists?,Can robot replace artists?
cerebras,0.6727774,0.48242658,0.36091128,0.28247344,Can robot replace artists?,Can robot replace artists?
cerebras,0.5968953,0.42380077,0.3128063,0.123578474,Can robot replace artists?,Can robot replace artists?
cerebras,0.71111137,0.42516193,0.3709144,0.049849883,Can robot replace artists?,Can robot replace artists?
cerebras,0.6712501,0.4862021,0.3900907,0.18338063,Can robot replace artists?,Can robot replace artists?
cerebras,0.702532,0.4336566,0.32208896,0.082516395,Can robot replace artists?,Can robot replace artists?
cerebras,0.50576717,0.27782607,0.2932512,0.14710656,Can robot replace artists?,Can robot replace artists?
gpt3,0.7932985,0.48072332,0.6555184,0.16349506,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
gpt3,0.57541835,0.46153587,0.7063217,0.1958372,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
gpt3,0.5935626,0.47228485,0.4830667,0.35076162,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
gpt2,0.5477754,0.4617495,0.37322602,0.4075276,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
gpt2,0.50855374,0.3809328,0.34188122,0.32274544,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
gpt2,0.50855374,0.39486384,0.58688056,0.24168591,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
mistral,0.9076794,0.30300415,0.57545257,0.14977248,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
mistral,0.90440094,0.24292645,0.3210436,0.22245848,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
mistral,0.90440094,0.28715426,0.5648472,0.22299966,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
mistral,0.90440094,0.2727671,0.24833101,0.23281457,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
mistral,0.90440094,0.2883889,0.47457868,0.2150253,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
cerebras,0.647316,0.43010515,0.49870396,0.09998377,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
cerebras,0.49638635,0.43709436,0.56070197,0.38346204,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
cerebras,0.5027403,0.4042467,0.5130756,0.23219149,Define Nucleic Acid Amplification,Define Nucleic Acid Amplification
gpt3,0.88610053,0.49865136,0.40961418,0.15852764,Define Blockchain Technology,Define Blockchain Technology
gpt3,0.88015145,0.50488436,0.33697274,0.02490254,Define Blockchain Technology,Define Blockchain Technology
gpt2,0.6970339,0.49433196,0.21883228,0.2941804,Define Blockchain Technology,Define Blockchain Technology
gpt2,0.8078524,0.50643003,0.20586075,0.35790107,Define Blockchain Technology,Define Blockchain Technology
gpt2,0.68867534,0.4611307,0.39044273,0.30191606,Define Blockchain Technology,Define Blockchain Technology
gpt3,0.8712294,0.51586926,0.34958982,0.3203231,Define Blockchain Technology,Define Blockchain Technology
gpt3,0.8748387,0.52424896,0.38295507,0.30798703,Define Blockchain Technology,Define Blockchain Technology
gpt3,0.8394305,0.5039456,0.42501134,0.30130193,Define Blockchain Technology,Define Blockchain Technology
mistral,0.93729514,0.5296159,0.39991623,0.3761732,Define Blockchain Technology,Define Blockchain Technology
mistral,0.93729514,0.5193358,0.44248194,0.30008408,Define Blockchain Technology,Define Blockchain Technology
mistral,0.93729514,0.53492725,0.3658108,0.38343334,Define Blockchain Technology,Define Blockchain Technology
cerebras,0.67791903,0.50004417,0.3086704,0.38865954,Define Blockchain Technology,Define Blockchain Technology
